episode, steps, accumulated_reward
239, 1283, -147.432014280864
240, 1067, -153.466304233057
241, 1263, -216.181506720419
242, 1301, -115.367042223761
243, 681, -173.985288843006
244, 666, -180.485230482979
245, 948, -157.986623987076
246, 1252, -162.764357480484
247, 684, -171.098378981182
248, 995, -175.623287221506
249, 1191, -156.775697215805
250, 1209, -56.2573571722615
251, 1219, -36.1082462510004
252, 1303, 37.1881728845153
253, 679, -174.83809402754
254, 688, -171.349516535557
255, 865, -115.230728737912
256, 1196, -6.65378684425175
257, 771, -147.434049541036
258, 678, -174.467231571314
259, 679, -173.394444061776
260, 688, -168.109243059527
261, 938, -88.309357135976
262, 777, -144.747975397597
263, 940, -94.0672239106157
264, 667, -178.495289828544
265, 1212, 15.2030584061171
266, 1352, 74.852155855995
267, 1137, -46.0924954286834
268, 673, -177.290150836989
269, 731, -158.067622172928
270, 795, -136.672604187795
271, 661, -181.597017045073
272, 672, -175.421160748989
273, 696, -173.24728685027
274, 842, -131.602106233141
275, 720, -164.367243390222
276, 718, -163.931672234213
277, 1040, -52.8493447897417
278, 1200, 48.8652405416199
279, 1301, -53.3624636919675
280, 921, -105.530859528478
281, 1189, 3.58697970804775
282, 1344, 76.1694980222072
283, 970, -82.8208335941272
284, 678, -173.5983332057
285, 924, -101.65809651378
286, 1017, -73.2516846549609
287, 700, -164.76870644223
288, 732, -154.826617505704
289, 791, -146.580774067143
290, 713, -166.130058502844
291, 1331, 100.550526209846
292, 1285, -80.3965845871827
293, 1086, -51.1430935140944
294, 1066, -55.8112387620075
295, 880, -117.869045208123
296, 1279, -4.65855310842173
297, 1217, 9.77716531499209
298, 1339, 156.35523407496
299, 1336, 332.615742759405
300, 1352, 219.061871127961
301, 957, -96.4687038559381
302, 1042, -61.7814449199007
303, 1072, -47.5389043853831
304, 1170, -47.6121278259225
305, 1343, 364.764477655248
306, 1149, -27.3156534020372
307, 972, -99.1610278697652
308, 1016, -56.9027966013333
309, 1061, -63.1607040748908
310, 1322, 282.231222235729
311, 1344, 335.163796284987
312, 1170, -28.2852501854063
313, 1149, -33.8156843016923
314, 1048, -43.4165194207413
315, 1081, -66.4562819735183
316, 1056, -57.0679102112087
317, 1105, -45.7239946331826
318, 1069, -43.955976412359
319, 1112, -30.9299322928845
320, 1129, -38.6857040516007
321, 1028, -60.4864465731385
322, 1051, -40.5085197442726
323, 1088, -46.3171413547389
324, 1081, -40.8040211889908
325, 1072, -59.8972851103642
326, 1042, -57.2705379968581
327, 1143, 1.56222535107926
328, 1081, -33.5622293839742
329, 1142, -7.06284981777233
330, 1171, 18.5911277190557
331, 1140, -27.1181278693712
332, 1081, -30.8310452672249
333, 1337, 469.551314620772
334, 1118, 9.28391770070232
335, 1163, -12.3559194807452
336, 1172, -13.5238219928976
337, 1122, -20.4635083320775
338, 1329, 424.25534732858
339, 1181, 33.4961462253744
340, 1135, 13.8197881864428
341, 1206, 34.9094222094739
342, 1187, 7.21658672239431
