episode, step, reward, direction_x, direction_y, direction_z, central_force, torque
406, 89, -3.29266023635864, 1.0, -1.0, 1.0, 0.0, 0.0
406, 90, -2.95790648460388, 1.0, -1.0, 1.0, 0.0, 0.0
406, 91, -2.65718603134155, 1.0, -1.0, 1.0, 0.0, 0.0
406, 92, -2.38703870773315, 1.0, -1.0, 1.0, 0.0, 0.0
406, 93, -2.14435648918152, 1.0, -1.0, 1.0, 0.0, 0.0
406, 94, -1.92634689807892, 1.0, -1.0, 1.0, 0.0, 0.0
406, 95, -1.73050153255463, 1.0, -1.0, 1.0, 0.0, 0.0
406, 96, 0.0, 1.0, -1.0, -1.0, 0.0, 0.0
406, 97, -1.39651954174042, 1.0, -1.0, -1.0, 0.0, 0.0
406, 98, -1.25453996658325, 1.0, -1.0, -1.0, 0.0, 0.0
406, 99, -1.12699508666992, 1.0, -1.0, -1.0, 0.0, 0.0
406, 100, -1.01241719722748, 1.0, -1.0, -1.0, 0.0, 0.0
406, 101, -0.90948808193207, 1.0, -1.0, -1.0, 0.0, 0.0
406, 102, -0.81702345609665, 1.0, -1.0, -1.0, 0.0, 0.0
406, 103, -0.73395937681198, 1.0, -1.0, -1.0, 0.0, 0.0
406, 104, 0.0, 1.0, -1.0, 1.0, 0.0, 0.0
406, 105, -0.59230720996857, 1.0, -1.0, 1.0, 0.0, 0.0
406, 106, -0.53208929300308, 1.0, -1.0, 1.0, 0.0, 0.0
406, 107, -0.47799354791641, 1.0, -1.0, 1.0, 0.0, 0.0
406, 108, -0.42939752340317, 1.0, -1.0, 1.0, 0.0, 0.0
406, 109, -0.38574209809303, 1.0, -1.0, 1.0, 0.0, 0.0
406, 110, -0.34652498364449, 1.0, -1.0, 1.0, 0.0, 0.0
406, 111, -0.31129494309425, 1.0, -1.0, 1.0, 0.0, 0.0
406, 112, 0.0, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 113, -0.25121587514877, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 114, -0.22567558288574, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 115, -0.20273189246655, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 116, -0.18212081491947, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 117, -0.16360519826412, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 118, -0.14697200059891, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 119, -0.13202984631062, 1.0, -1.0, 0.02464443445206, 0.0, 0.0
406, 120, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 121, -0.10654844343662, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 122, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 123, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 124, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 125, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 126, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 127, 0.0, 1.0, -1.0, 0.77159023284912, 0.0, 0.0
406, 128, 0.0, 1.0, -1.0, -0.45419579744339, 0.0, 0.0
